Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20457;17/06/2026;22/06/2026 10:34:59;;0;4454;846;;;5300;;;;;0;;;;0;;;;
2;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20475;18/06/2026;22/06/2026 10:37:51;;0;4454;846;;;5300;;;;;0;;;;0;;;;
3;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9560325;23/06/2026;22/06/2026 10:39:20;;0;114638;21781;;;136419;;;;;0;;;;0;;;;
4;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20495;19/06/2026;22/06/2026 10:40:50;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
5;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20518;20/06/2026;22/06/2026 10:44:18;;0;13361;2539;;;15900;;;;;0;;;;0;;;;
6;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80158216;18/06/2026;22/06/2026 10:51:36;;0;81406;15467;;;99592;;;;;0;;;;0;18;2719;5;
7;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80158304;19/06/2026;22/06/2026 10:59:55;;0;49950;9490;;;59440;;;;;0;;;;0;;;;
8;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;955801;20/06/2026;22/06/2026 12:45:32;;0;46285;8794;;;55079;;;;;0;;;;0;;;;
9;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40852025;22/06/2026;22/06/2026 16:22:38;;0;203118;38592;;;251866;;;;;0;;;;0;18;10156;5;
10;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3536346;23/06/2026;22/06/2026 17:06:58;;0;80338;15264;;;95860;;;;;0;;;;0;19;258;12;
11;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;12793;23/06/2026;22/06/2026 17:50:19;;0;32850;6242;;;39092;;;;;0;;;;0;;;;
12;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;103909908;23/06/2026;23/06/2026 02:16:11;;0;240140;45627;;;298390;;;;;0;;;;0;27;12623;10;
13;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5653137;23/06/2026;23/06/2026 05:29:45;;0;113285;21525;;;134810;;;;;0;;;;0;;;;
14;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5653138;23/06/2026;23/06/2026 05:29:46;;0;145345;27615;;;180227;;;;;0;;;;0;18;7267;5;
15;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8295;23/06/2026;23/06/2026 09:30:58;;0;40283;7654;;;47937;;;;;0;;;;0;;;;
16;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;956777;23/06/2026;23/06/2026 10:18:24;;0;55062;10462;;;65524;;;;;0;;;;0;;;;
17;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2437831;23/06/2026;23/06/2026 09:40:11;;0;270630;51420;;;322050;;;;;0;;;;0;;;;
18;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;257611;23/06/2026;23/06/2026 15:52:12;;0;20305;3858;;;24163;;;;;0;;;;0;;;;
19;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3539199;24/06/2026;23/06/2026 17:25:56;;0;26548;5044;;;31592;;;;;0;;;;0;;;;
20;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38752853;23/06/2026;24/06/2026 03:20:52;;0;66000;12540;;;78540;;;;;0;;;;0;;;;
21;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5702790;24/06/2026;24/06/2026 03:53:27;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
22;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9565763;25/06/2026;24/06/2026 11:09:13;;0;170632;32420;;;203052;;;;;0;;;;0;;;;
23;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20539;22/06/2026;24/06/2026 13:36:21;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
24;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20559;23/06/2026;24/06/2026 13:39:23;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
25;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;12821;25/06/2026;24/06/2026 17:08:26;;0;28100;5339;;;33439;;;;;0;;;;0;;;;
26;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5704724;25/06/2026;25/06/2026 05:13:17;;0;210431;39982;;;260935;;;;;0;;;;0;18;10522;5;
27;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;957656;25/06/2026;25/06/2026 08:18:33;;0;67152;12759;;;79911;;;;;0;;;;0;;;;
28;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;257705;25/06/2026;25/06/2026 09:26:22;;0;129954;24691;;;154645;;;;;0;;;;0;;;;
