Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
29;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80158461;22/06/2026;25/06/2026 16:59:59;;0;5042;958;;;6000;;;;;0;;;;0;;;;
30;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80192849;24/06/2026;25/06/2026 17:03:23;;0;11462;2178;;;13640;;;;;0;;;;0;;;;
31;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3543882;26/06/2026;25/06/2026 17:51:10;;0;110741;21041;;;132169;;;;;0;;;;0;19;387;12;
32;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5706347;26/06/2026;26/06/2026 02:08:36;;0;136026;25846;;;161872;;;;;0;;;;0;;;;
33;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5706492;26/06/2026;26/06/2026 04:10:08;;0;53800;10222;;;64022;;;;;0;;;;0;;;;
34;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5706491;26/06/2026;26/06/2026 04:10:07;;0;140028;26605;;;173634;;;;;0;;;;0;18;7001;5;
35;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2439585;26/06/2026;26/06/2026 10:30:30;;0;101595;19303;;;120898;;;;;0;;;;0;;;;
36;33;Del Giro;76168557-0;Distribuidora Arizona Limitada;1247520;26/06/2026;26/06/2026 11:37:41;;0;62640;11902;;;74542;;;;;0;;;;0;;;;
37;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;103974894;26/06/2026;26/06/2026 13:09:53;;0;11234;2134;;;13368;;;;;0;;;;0;;;;
38;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;103974895;26/06/2026;26/06/2026 13:09:53;;0;280483;53292;;;361158;;;;;0;;;;0;27;7343;10;
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;103974895;26/06/2026;;;;;;;;;;;;;;;;;;271;20040;18;
39;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;12865;27/06/2026;26/06/2026 14:00:44;;0;41290;7845;;;49135;;;;;0;;;;0;;;;
40;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9572135;27/06/2026;26/06/2026 15:52:46;;0;62270;11831;;;74101;;;;;0;;;;0;;;;
41;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40894983;26/06/2026;26/06/2026 17:01:39;;0;221160;42020;;;274238;;;;;0;;;;0;18;11058;5;
42;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38785329;26/06/2026;27/06/2026 02:38:42;;0;52800;10032;;;62832;;;;;0;;;;0;;;;
43;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8296;27/06/2026;27/06/2026 10:19:14;;0;50286;9554;;;59840;;;;;0;;;;0;;;;
44;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40906258;27/06/2026;27/06/2026 18:02:32;;0;185367;35220;;;229855;;;;;0;;;;0;18;9268;5;
45;33;Del Giro;77468903-6;WS INVERSIONES SPA;675;28/06/2026;28/06/2026 12:32:26;;0;27528;5231;;;32759;;;;;0;;;;0;;;;
46;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80192993;26/06/2026;29/06/2026 11:13:13;;0;3361;639;;;4000;;;;;0;;;;0;;;;
47;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;12907;30/06/2026;29/06/2026 13:56:43;;0;34950;6641;;;41591;;;;;0;;;;0;;;;
48;33;Del Giro;76031182-0;COMERCIALIZADORA Y ASESORIAS ROBERTO HIDALGO SAAVEDRA E.I.R.L.;8719;29/06/2026;29/06/2026 16:28:20;;0;7260;1379;;;8639;;;;;0;;;;0;;;;
49;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;958635;27/06/2026;29/06/2026 20:33:33;;0;73855;14032;;;87887;;;;;0;;;;0;;;;
50;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5656245;30/06/2026;30/06/2026 05:28:53;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
51;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;959140;30/06/2026;30/06/2026 08:49:58;;0;58679;11149;;;69828;;;;;0;;;;0;;;;
52;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8297;30/06/2026;30/06/2026 10:21:13;;0;42291;8035;;;50326;;;;;0;;;;0;;;;
53;33;Del Giro;76022693-9;COMERCIAL FRUTALVENTO LIMITADA;2073;30/06/2026;30/06/2026 12:50:15;;0;38994;7409;;;46403;;;;;0;;;;0;;;;
54;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3549203;01/07/2026;30/06/2026 17:16:16;;0;45048;8559;;;53607;;;;;0;;;;0;;;;
55;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5657971;01/07/2026;01/07/2026 04:35:33;;0;114479;21751;;;136230;;;;;0;;;;0;;;;
56;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9579957;02/07/2026;01/07/2026 10:58:31;;0;142654;27104;;;169758;;;;;0;;;;0;;;;
57;33;Del Giro;96689310-9;Transbank S.A;58132558;25/06/2026;01/07/2026 12:05:06;;0;140402;26676;;;167078;;;;;0;;;;0;;;;
58;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1670889;01/07/2026;01/07/2026 12:31:51;;0;14437;2743;;;17180;;;;;0;;;;0;;;;
59;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1670888;01/07/2026;01/07/2026 12:27:35;;0;172370;32750;;;205120;;;;;0;;;;0;;;;
60;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20576;24/06/2026;01/07/2026 14:26:35;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
61;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20594;25/06/2026;01/07/2026 14:29:22;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
62;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20616;26/06/2026;01/07/2026 14:32:55;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
63;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20635;27/06/2026;01/07/2026 14:35:59;;0;13361;2539;;;15900;;;;;0;;;;0;;;;
64;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20661;29/06/2026;01/07/2026 14:40:07;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
65;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20676;30/06/2026;01/07/2026 14:43:15;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
66;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;258192;01/07/2026;01/07/2026 16:01:55;;0;7111405;1351167;;;8462572;;;;;0;;;;0;;;;
67;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;12959;02/07/2026;01/07/2026 17:17:29;;0;21500;4085;;;25585;;;;;0;;;;0;;;;
68;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27156063;01/07/2026;01/07/2026 23:45:10;;0;43957;8353;;;52310;;;;;0;;;;0;;;;
69;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38816019;01/07/2026;02/07/2026 02:14:02;;0;66000;12540;;;78540;;;;;0;;;;0;;;;
70;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5660421;02/07/2026;02/07/2026 04:37:46;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
71;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;959943;02/07/2026;02/07/2026 08:59:31;;0;57287;10885;;;68172;;;;;0;;;;0;;;;
72;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;101725464;02/07/2026;02/07/2026 09:29:45;;0;94189;17896;;;112085;;;;;0;;;;0;;;;
73;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;23627;02/07/2026;02/07/2026 09:42:33;;0;434704;82594;;;517298;;;;;0;;;;0;;;;
74;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20930;01/07/2026;02/07/2026 11:16:41;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
75;33;Del Giro;83768600-8;PLASTICOS EL SALTO SPA;81410;02/07/2026;02/07/2026 11:37:55;;0;30791;5850;;;36641;;;;;0;;;;0;;;;
76;33;Del Giro;96689310-9;Transbank S.A;58207275;26/06/2026;02/07/2026 14:04:11;;0;399621;75928;;;475549;;;;;0;;;;0;;;;
77;33;Del Giro;76828790-2;MULTICAJA SA;2976673;30/06/2026;02/07/2026 17:37:46;;0;27214;5171;;;32385;;;;;0;;;;0;;;;
78;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3555946;03/07/2026;02/07/2026 17:57:21;;0;92801;17632;;;110820;;;;;0;;;;0;19;387;12;
79;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40943461;02/07/2026;02/07/2026 19:06:45;;0;350740;66641;;;434918;;;;;0;;;;0;18;17537;5;
80;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104050580;03/07/2026;03/07/2026 03:06:50;;0;40060;7611;;;49592;;;;;0;;;;0;271;1019;18;
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104050580;03/07/2026;;;;;;;;;;;;;;;;;;27;902;10;
81;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5662689;03/07/2026;03/07/2026 04:09:10;;0;159171;30242;;;197372;;;;;0;;;;0;18;7959;5;
82;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5662688;03/07/2026;03/07/2026 04:09:09;;0;128888;24489;;;153377;;;;;0;;;;0;;;;
83;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2441902;03/07/2026;03/07/2026 09:55:19;;0;154180;29294;;;183474;;;;;0;;;;0;;;;
84;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3558133;04/07/2026;03/07/2026 16:41:04;;0;92174;17513;;;110074;;;;;0;;;;0;19;387;12;
85;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13016;04/07/2026;03/07/2026 17:44:14;;0;40700;7733;;;48433;;;;;0;;;;0;;;;
86;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9586432;04/07/2026;03/07/2026 18:41:02;;0;134060;25471;;;159531;;;;;0;;;;0;;;;
87;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5664355;04/07/2026;04/07/2026 01:58:47;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
88;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38816065;03/07/2026;04/07/2026 04:00:59;;0;149755;28453;;;178208;;;;;0;;;;0;;;;
89;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8311;04/07/2026;04/07/2026 09:27:59;;0;45996;8739;;;54735;;;;;0;;;;0;;;;
90;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8312;04/07/2026;04/07/2026 09:29:07;;0;840;160;;;1000;;;;;0;;;;0;;;;
91;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;101725565;04/07/2026;04/07/2026 09:33:13;;0;545976;103736;;;649712;;;;;0;;;;0;;;;
92;33;Del Giro;76168557-0;Distribuidora Arizona Limitada;1248722;04/07/2026;04/07/2026 10:23:19;;0;93960;17852;;;111812;;;;;0;;;;0;;;;
93;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;23711;04/07/2026;04/07/2026 11:41:50;;0;10750;2043;;;12793;;;;;0;;;;0;;;;
94;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40966360;04/07/2026;04/07/2026 18:47:11;;0;188955;35901;;;234304;;;;;0;;;;0;18;9448;5;
95;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27197590;05/07/2026;05/07/2026 13:48:55;;0;77060;14640;;;91700;;;;;0;;;;0;;;;
96;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5665065;06/07/2026;06/07/2026 05:34:14;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
97;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;960778;04/07/2026;06/07/2026 08:24:01;;0;57906;11002;;;68908;;;;;0;;;;0;;;;
98;33;Del Giro;76211425-9;Delivery Hero E-Commerce Chile SPA;3261255;06/07/2026;06/07/2026 10:54:11;;0;5608;1065;;;6673;;;;;0;;;;0;;;;
99;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;258819;06/07/2026;06/07/2026 11:32:26;;18334;1673191;317906;;;2009431;;;;;0;;;;0;;;;
100;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;259097;06/07/2026;06/07/2026 11:53:30;;0;1163394;221045;;;1384439;;;;;0;;;;0;;;;
101;33;Del Giro;96960800-6;GASVALPO SPA.;267095;06/07/2026;06/07/2026 16:09:48;;0;930710;176834;;;1107544;;;;;0;;;;0;;;;
102;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3560937;07/07/2026;06/07/2026 17:21:13;;0;44246;8407;;;52653;;;;;0;;;;0;;;;
103;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13055;07/07/2026;06/07/2026 17:30:57;;0;28500;5415;;;33915;;;;;0;;;;0;;;;
104;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20952;02/07/2026;06/07/2026 20:55:11;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
105;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20973;03/07/2026;06/07/2026 20:58:31;;0;8908;1693;;;10601;;;;;0;;;;0;;;;
106;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;20993;04/07/2026;06/07/2026 21:02:01;;0;17815;3385;;;21200;;;;;0;;;;0;;;;
107;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21015;06/07/2026;06/07/2026 21:05:40;;0;6681;1269;;;7950;;;;;0;;;;0;;;;
108;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9592423;07/07/2026;06/07/2026 22:06:03;;0;89850;17072;;;106922;;;;;0;;;;0;;;;
109;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38849731;06/07/2026;07/07/2026 01:18:16;;0;87282;16584;;;103866;;;;;0;;;;0;;;;
110;33;Del Giro;77209443-4;UBER PORTIER CHILE SPA;2730664;07/07/2026;07/07/2026 03:48:45;;0;8478;1611;;;10089;;;;;0;;;;0;;;;
111;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104102999;07/07/2026;07/07/2026 04:51:21;;0;165196;31387;;;208522;;;;;0;;;;0;27;11939;10;
112;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5667357;07/07/2026;07/07/2026 05:12:27;;0;36488;6933;;;43421;;;;;0;;;;0;;;;
113;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;961752;07/07/2026;07/07/2026 07:54:39;;0;60862;11564;;;72426;;;;;0;;;;0;;;;
114;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8313;07/07/2026;07/07/2026 08:50:30;;0;39233;7454;;;46687;;;;;0;;;;0;;;;
115;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;101725641;07/07/2026;07/07/2026 09:18:42;;0;282528;53680;;;336208;;;;;0;;;;0;;;;
116;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80220030;02/07/2026;07/07/2026 10:15:11;;0;45315;8610;;;54030;;;;;0;;;;0;27;105;10;
117;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80220146;03/07/2026;07/07/2026 10:17:56;;0;5798;1102;;;6900;;;;;0;;;;0;;;;
118;33;Del Giro;96781350-8;EDENRED CHILE S.A.;1558852;07/07/2026;07/07/2026 11:05:58;;0;18361;3489;;;21850;;;;;0;;;;0;;;;
119;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2442820;07/07/2026;07/07/2026 11:15:23;;0;158760;30164;;;188924;;;;;0;;;;0;;;;
120;33;Del Giro;76022693-9;COMERCIAL FRUTALVENTO LIMITADA;2077;07/07/2026;07/07/2026 13:36:07;;0;39047;7419;;;46466;;;;;0;;;;0;;;;
121;33;Del Giro;79565440-2;INDUSTRIAS RELKON Y CIA LTDA;58310;07/07/2026;07/07/2026 15:50:07;;0;113517;21568;;;135085;;;;;0;;;;0;;;;
122;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5669761;08/07/2026;08/07/2026 04:44:17;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
123;33;Del Giro;81537600-5;RENDIC HERMANOS S.A.;44742269;08/07/2026;08/07/2026 12:58:37;;0;8395;1595;;;9990;;;;;0;;;;0;;;;
124;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9597496;09/07/2026;08/07/2026 13:46:57;;0;82760;15724;;;98484;;;;;0;;;;0;;;;
125;33;Del Giro;76942953-0;JUSTO SPA;568020;06/07/2026;08/07/2026 16:40:59;;0;40828;7757;;;48585;;;;;0;;;;0;;;;
126;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;40994777;08/07/2026;08/07/2026 17:17:50;;0;174085;33076;;;215865;;;;;0;;;;0;18;8704;5;
127;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13096;09/07/2026;08/07/2026 17:17:53;;0;16650;3164;;;19814;;;;;0;;;;0;;;;
128;33;Del Giro;77269290-0;ADMINISTRADORA DE FRANQUICIAS QUIDEL LTDA;11509;30/06/2026;08/07/2026 18:13:32;;0;5264392;1000234;;;6264626;;;;;0;;;;0;;;;
129;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;101725703;09/07/2026;09/07/2026 09:56:52;;0;178528;33920;;;212448;;;;;0;;;;0;;;;
130;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;962618;09/07/2026;09/07/2026 10:01:54;;0;46585;8851;;;55436;;;;;0;;;;0;;;;
131;33;Del Giro;99017000-2;SEGUROS GENERALES SURAMERICANA S.A.;8298925;08/07/2026;09/07/2026 11:33:36;;11798;40877;7767;;;60442;;;;;0;;;;0;;;;
132;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1708384;09/07/2026;09/07/2026 11:56:19;;0;91210;17330;;;108540;;;;;0;;;;0;;;;
133;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1708385;09/07/2026;09/07/2026 11:58:22;;0;4807;913;;;5720;;;;;0;;;;0;;;;
134;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3569815;10/07/2026;09/07/2026 18:30:49;;0;90970;17284;;;108641;;;;;0;;;;0;19;387;12;
135;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104154027;10/07/2026;10/07/2026 04:13:58;;0;114456;21747;;;155566;;;;;0;;;;0;271;19021;18;
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104154027;10/07/2026;;;;;;;;;;;;;;;;;;27;342;10;
136;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5673398;10/07/2026;10/07/2026 04:18:16;;0;131058;24903;;;155961;;;;;0;;;;0;;;;
137;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5673400;10/07/2026;10/07/2026 04:18:22;;0;53800;10222;;;64022;;;;;0;;;;0;;;;
138;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5673399;10/07/2026;10/07/2026 04:18:16;;0;151017;28693;;;187261;;;;;0;;;;0;18;7551;5;
139;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80245199;09/07/2026;10/07/2026 09:27:42;;0;55370;10520;;;65890;;;;;0;;;;0;;;;
140;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2444413;10/07/2026;10/07/2026 10:20:18;;0;104290;19815;;;124105;;;;;0;;;;0;;;;
